Date,Open,High,Low,Volume,Close
2023-09-07,25748.31,26409.3,25608.2,11088307100.0,26240.2
2023-09-06,25783.93,25953.02,25404.36,12752705327.0,25753.24
2023-09-05,25814.96,25858.38,25589.99,11094740040.0,25779.98
2023-09-04,25968.17,26081.53,25657.03,10680635106.0,25812.42
2023-09-03,25869.47,26087.15,25817.03,8962524523.0,25969.57
2023-09-02,25800.91,25970.29,25753.09,10100387473.0,25868.8
2023-09-01,25934.02,26125.87,25362.61,17202862221.0,25800.72
2023-08-31,27301.93,27456.08,25752.93,20181001451.0,25931.47
2023-08-30,27726.08,27760.16,27069.21,16343655235.0,27297.27
2023-08-29,26102.49,28089.34,25912.63,29368391712.0,27727.39
2023-08-28,26089.62,26198.58,25880.6,11002805166.0,26106.15
2023-08-27,26008.24,26165.37,25965.1,6913768611.0,26089.69
2023-08-26,26047.23,26107.38,25983.88,6034817316.0,26008.46
2023-08-25,26163.68,26248.1,25786.81,12406045118.0,26047.67
2023-08-24,26431.52,26554.91,25914.93,12871532023.0,26162.37
2023-08-23,26040.47,26786.9,25805.0,16985265785.0,26431.64
2023-08-22,26130.75,26135.51,25520.73,14503820706.0,26031.66
2023-08-21,26188.69,26220.2,25846.09,13371557893.0,26124.14
2023-08-20,26096.86,26260.68,26004.31,9036580420.0,26189.58
2023-08-19,26047.83,26249.45,25802.41,10631443812.0,26096.21
2023-08-18,26636.08,26808.2,25668.92,24026236529.0,26049.56
2023-08-17,28699.8,28745.95,25409.11,31120851211.0,26664.55
2023-08-16,29169.07,29221.98,28701.78,14949271904.0,28701.78
2023-08-15,29408.05,29439.12,29088.85,12640195779.0,29170.35
2023-08-14,29283.26,29660.25,29124.11,14013695304.0,29408.44
2023-08-13,29416.59,29441.43,29265.81,7329897180.0,29282.91
2023-08-12,29399.79,29465.11,29357.59,6194358008.0,29415.96
2023-08-11,29424.9,29517.77,29253.52,10195168197.0,29397.71
2023-08-10,29563.97,29688.56,29354.45,11865344789.0,29429.59
2023-08-09,29766.7,30093.44,29376.8,18379521213.0,29561.49
2023-08-08,29180.02,30176.8,29113.81,17570561357.0,29765.49
2023-08-07,29038.51,29244.28,28724.14,13618163710.0,29180.58
2023-08-06,29043.7,29160.82,28963.83,7269806994.0,29041.86
2023-08-05,29075.39,29102.46,28957.8,6598366353.0,29042.13
2023-08-04,29174.38,29302.08,28885.34,12036639988.0,29074.09
2023-08-03,29161.81,29375.71,28959.49,12780357746.0,29178.68
2023-08-02,29704.15,29988.0,28946.51,19212655598.0,29151.96
2023-08-01,29230.87,29675.73,28657.02,18272392391.0,29675.73
2023-07-31,29278.31,29489.87,29131.58,11656781982.0,29230.11
2023-07-30,29357.09,29443.17,29059.5,8678454527.0,29275.31
2023-07-29,29319.45,29396.84,29264.17,6481775959.0,29356.92
2023-07-28,29212.16,29521.51,29125.85,11218474952.0,29319.25
2023-07-27,29353.8,29560.97,29099.35,10770779217.0,29210.69
2023-07-26,29225.76,29675.55,29113.91,13497554655.0,29354.97
2023-07-25,29178.97,29353.16,29062.43,10266772793.0,29227.39
